brandconsideration_Colgate,brandconsideration_eSensodyne,brandconsideration_Darlie,brandconsideration_Parodontax,brandconsideration_Oral-B,brandconsideration_others,Others,ImpressionOfColgate,SeenBossAd,SeenColleagueAd,NoSeenAds,Numberofads,PreferenceLevelofAd,ConnectionLevelofAd,PurchaseIntention,PreferenceEnhance,UnderstandEnhance,Gender,Age,Whitening,Plaque,GumHealth,Desenstizing,BreathFresh,OtherhealthIssue,nocare,LastPurchaseTime,ads_text,ads_picture  ,ads_video ,ads_Influencer,Video_instream
1,0,1,0,0,0,,4,1,1,0,2,7,8,4,4,4,1,30-39,1,0,0,1,0,0,0,Within6M,0,1,0,0,0
0,0,1,0,0,0,,4,1,1,0,2,6,6,5,4,4,1,40-49,0,1,1,1,1,0,0,Within1M,0,0,1,0,0
1,0,1,0,0,0,,5,0,1,0,1,8,9,5,4,5,1,40-49,1,1,1,1,1,0,0,Within3M,0,0,1,0,0
1,0,1,0,0,0,,5,0,0,1,0,,,,,,1,50-59,1,1,1,1,1,0,0,Within1M,0,1,1,1,0
1,0,0,0,0,1,Crest,4,1,1,0,2,10,10,4,5,5,1,20-29,1,0,0,1,1,0,0,Within3M,0,1,1,1,0
1,1,1,1,0,0,,4,0,0,1,0,,,,,,1,40-49,1,1,1,1,1,0,0,Within1M,0,1,0,0,0
0,0,1,0,0,0,,4,0,0,1,0,,,,,,0,40-49,0,1,0,0,0,0,0,Within1M,0,1,0,0,0
1,0,1,0,0,0,,3,0,0,1,0,,,,,,1,40-49,1,1,0,0,1,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,5,0,1,0,1,8,6,5,4,4,0,40-49,0,0,1,0,0,0,0,Within1W,1,0,0,0,0
1,0,0,0,0,0,,5,0,1,0,1,10,10,5,5,5,1,30-39,0,1,0,1,1,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,5,1,1,0,2,7,7,4,4,5,1,20-29,1,0,0,0,0,0,0,Within3M,0,1,0,0,0
1,0,1,0,1,0,,5,0,1,0,1,9,9,5,5,5,1,30-39,1,1,1,0,1,0,0,Within3M,0,1,1,0,0
0,1,1,0,0,0,,4,0,0,1,0,,,,,,0,40-49,0,0,1,1,0,0,0,Within1M,0,0,1,0,0
1,0,0,0,1,1,Ora2,5,0,1,0,1,10,9,5,4,5,1,20-29,0,0,0,1,1,0,0,Within6M,0,1,1,1,0
1,1,0,1,0,0,,4,0,0,1,0,,,,,,1,40-49,1,1,0,0,1,0,0,Within1M,0,1,1,0,0
1,0,0,1,0,0,,5,1,1,0,2,10,10,4,3,4,1,30-39,1,0,1,0,1,0,0,Within1M,0,0,1,1,0
1,0,1,0,1,0,,5,1,1,0,2,10,10,5,5,5,1,30-39,1,1,1,1,1,0,0,Within3M,0,1,1,0,0
